"MTT_Number","MTT_Hour","Date","WellID","Condition","Absorbance"
3,"48H","2025-05-07","A1","NA",NA
3,"48H","2025-05-07","B1","NA",NA
3,"48H","2025-05-07","C1","NA",NA
3,"48H","2025-05-07","D1","NA",NA
3,"48H","2025-05-07","E1","NA",NA
3,"48H","2025-05-07","F1","NA",NA
3,"48H","2025-05-07","G1","NA",NA
3,"48H","2025-05-07","H1","NA",NA
3,"48H","2025-05-07","A2","NA",0.0518
3,"48H","2025-05-07","B2","NA",0.0483
3,"48H","2025-05-07","C2","NA",0.0463
3,"48H","2025-05-07","D2","NA",0.0408
3,"48H","2025-05-07","E2","NA",0.057
3,"48H","2025-05-07","F2","NA",0.0528
3,"48H","2025-05-07","G2","NA",0.0549
3,"48H","2025-05-07","H2","NA",0.0478
3,"48H","2025-05-07","A3","NA",0.1232
3,"48H","2025-05-07","B3","NA",0.1088
3,"48H","2025-05-07","C3","NA",0.0697
3,"48H","2025-05-07","D3","NA",0.0801
3,"48H","2025-05-07","E3","NA",0.0854
3,"48H","2025-05-07","F3","NA",0.1989
3,"48H","2025-05-07","G3","NA",0.1703
3,"48H","2025-05-07","H3","NA",0.0744
3,"48H","2025-05-07","A4","NA",0.0902
3,"48H","2025-05-07","B4","NA",0.1479
3,"48H","2025-05-07","C4","NA",0.1189
3,"48H","2025-05-07","D4","NA",0.0767
3,"48H","2025-05-07","E4","NA",0.0879
3,"48H","2025-05-07","F4","NA",0.1444
3,"48H","2025-05-07","G4","NA",0.2551
3,"48H","2025-05-07","H4","NA",0.0686
3,"48H","2025-05-07","A5","NA",0.4487
3,"48H","2025-05-07","B5","NA",0.1418
3,"48H","2025-05-07","C5","NA",0.1107
3,"48H","2025-05-07","D5","NA",0.096
3,"48H","2025-05-07","E5","NA",0.0718
3,"48H","2025-05-07","F5","NA",0.1559
3,"48H","2025-05-07","G5","NA",0.2049
3,"48H","2025-05-07","H5","NA",0.0689
3,"48H","2025-05-07","A6","NA",0.183
3,"48H","2025-05-07","B6","NA",0.1243
3,"48H","2025-05-07","C6","NA",0.1501
3,"48H","2025-05-07","D6","NA",0.1323
3,"48H","2025-05-07","E6","NA",0.0738
3,"48H","2025-05-07","F6","NA",0.2351
3,"48H","2025-05-07","G6","NA",0.2217
3,"48H","2025-05-07","H6","NA",0.0696
3,"48H","2025-05-07","A7","NA",0.2304
3,"48H","2025-05-07","B7","NA",0.1579
3,"48H","2025-05-07","C7","NA",0.1313
3,"48H","2025-05-07","D7","NA",0.1554
3,"48H","2025-05-07","E7","NA",0.0987
3,"48H","2025-05-07","F7","NA",0.1765
3,"48H","2025-05-07","G7","NA",0.1748
3,"48H","2025-05-07","H7","NA",0.0782
3,"48H","2025-05-07","A8","NA",0.2044
3,"48H","2025-05-07","B8","NA",0.1696
3,"48H","2025-05-07","C8","NA",0.148
3,"48H","2025-05-07","D8","NA",0.1049
3,"48H","2025-05-07","E8","NA",0.086
3,"48H","2025-05-07","F8","NA",0.2025
3,"48H","2025-05-07","G8","NA",0.1803
3,"48H","2025-05-07","H8","NA",0.0681
3,"48H","2025-05-07","A9","NA",0.1486
3,"48H","2025-05-07","B9","NA",0.1539
3,"48H","2025-05-07","C9","NA",0.105
3,"48H","2025-05-07","D9","NA",0.0979
3,"48H","2025-05-07","E9","NA",0.0946
3,"48H","2025-05-07","F9","NA",0.1656
3,"48H","2025-05-07","G9","NA",0.1707
3,"48H","2025-05-07","H9","NA",0.0695
3,"48H","2025-05-07","A10","NA",0.178
3,"48H","2025-05-07","B10","NA",0.1668
3,"48H","2025-05-07","C10","NA",0.1271
3,"48H","2025-05-07","D10","NA",0.11
3,"48H","2025-05-07","E10","NA",0.0939
3,"48H","2025-05-07","F10","NA",0.1698
3,"48H","2025-05-07","G10","NA",0.2007
3,"48H","2025-05-07","H10","NA",0.0545
3,"48H","2025-05-07","A11","NA",0.1814
3,"48H","2025-05-07","B11","NA",0.1606
3,"48H","2025-05-07","C11","NA",0.1261
3,"48H","2025-05-07","D11","NA",0.0833
3,"48H","2025-05-07","E11","NA",0.1001
3,"48H","2025-05-07","F11","NA",0.2262
3,"48H","2025-05-07","G11","NA",0.1575
3,"48H","2025-05-07","H11","NA",0.0696
3,"48H","2025-05-07","A12","NA",0.0417
3,"48H","2025-05-07","B12","NA",0.0345
3,"48H","2025-05-07","C12","NA",0.0356
3,"48H","2025-05-07","D12","NA",0.0418
3,"48H","2025-05-07","E12","NA",0.0414
3,"48H","2025-05-07","F12","NA",0.0305
3,"48H","2025-05-07","G12","NA",0.041
3,"48H","2025-05-07","H12","NA",0.0375
