"MTT_Number","MTT_Hour","Date","WellID","Condition","Absorbance"
1,"72H","2025-05-05","A1","NA",NA
1,"72H","2025-05-05","B1","NA",NA
1,"72H","2025-05-05","C1","NA",NA
1,"72H","2025-05-05","D1","NA",NA
1,"72H","2025-05-05","E1","NA",NA
1,"72H","2025-05-05","F1","NA",NA
1,"72H","2025-05-05","G1","NA",NA
1,"72H","2025-05-05","H1","NA",NA
1,"72H","2025-05-05","A2","NA",0.0518
1,"72H","2025-05-05","B2","NA",0.0483
1,"72H","2025-05-05","C2","NA",0.0463
1,"72H","2025-05-05","D2","NA",0.0408
1,"72H","2025-05-05","E2","NA",0.057
1,"72H","2025-05-05","F2","NA",0.0528
1,"72H","2025-05-05","G2","NA",0.0549
1,"72H","2025-05-05","H2","NA",0.0478
1,"72H","2025-05-05","A3","NA",0.1232
1,"72H","2025-05-05","B3","NA",0.1088
1,"72H","2025-05-05","C3","NA",0.0697
1,"72H","2025-05-05","D3","NA",0.0801
1,"72H","2025-05-05","E3","NA",0.0854
1,"72H","2025-05-05","F3","NA",0.1989
1,"72H","2025-05-05","G3","NA",0.1703
1,"72H","2025-05-05","H3","NA",0.0744
1,"72H","2025-05-05","A4","NA",0.0902
1,"72H","2025-05-05","B4","NA",0.1479
1,"72H","2025-05-05","C4","NA",0.1189
1,"72H","2025-05-05","D4","NA",0.0767
1,"72H","2025-05-05","E4","NA",0.0879
1,"72H","2025-05-05","F4","NA",0.1444
1,"72H","2025-05-05","G4","NA",0.2551
1,"72H","2025-05-05","H4","NA",0.0686
1,"72H","2025-05-05","A5","NA",0.4487
1,"72H","2025-05-05","B5","NA",0.1418
1,"72H","2025-05-05","C5","NA",0.1107
1,"72H","2025-05-05","D5","NA",0.096
1,"72H","2025-05-05","E5","NA",0.0718
1,"72H","2025-05-05","F5","NA",0.1559
1,"72H","2025-05-05","G5","NA",0.2049
1,"72H","2025-05-05","H5","NA",0.0689
1,"72H","2025-05-05","A6","NA",0.183
1,"72H","2025-05-05","B6","NA",0.1243
1,"72H","2025-05-05","C6","NA",0.1501
1,"72H","2025-05-05","D6","NA",0.1323
1,"72H","2025-05-05","E6","NA",0.0738
1,"72H","2025-05-05","F6","NA",0.2351
1,"72H","2025-05-05","G6","NA",0.2217
1,"72H","2025-05-05","H6","NA",0.0696
1,"72H","2025-05-05","A7","NA",0.2304
1,"72H","2025-05-05","B7","NA",0.1579
1,"72H","2025-05-05","C7","NA",0.1313
1,"72H","2025-05-05","D7","NA",0.1554
1,"72H","2025-05-05","E7","NA",0.0987
1,"72H","2025-05-05","F7","NA",0.1765
1,"72H","2025-05-05","G7","NA",0.1748
1,"72H","2025-05-05","H7","NA",0.0782
1,"72H","2025-05-05","A8","NA",0.2044
1,"72H","2025-05-05","B8","NA",0.1696
1,"72H","2025-05-05","C8","NA",0.148
1,"72H","2025-05-05","D8","NA",0.1049
1,"72H","2025-05-05","E8","NA",0.086
1,"72H","2025-05-05","F8","NA",0.2025
1,"72H","2025-05-05","G8","NA",0.1803
1,"72H","2025-05-05","H8","NA",0.0681
1,"72H","2025-05-05","A9","NA",0.1486
1,"72H","2025-05-05","B9","NA",0.1539
1,"72H","2025-05-05","C9","NA",0.105
1,"72H","2025-05-05","D9","NA",0.0979
1,"72H","2025-05-05","E9","NA",0.0946
1,"72H","2025-05-05","F9","NA",0.1656
1,"72H","2025-05-05","G9","NA",0.1707
1,"72H","2025-05-05","H9","NA",0.0695
1,"72H","2025-05-05","A10","NA",0.178
1,"72H","2025-05-05","B10","NA",0.1668
1,"72H","2025-05-05","C10","NA",0.1271
1,"72H","2025-05-05","D10","NA",0.11
1,"72H","2025-05-05","E10","NA",0.0939
1,"72H","2025-05-05","F10","NA",0.1698
1,"72H","2025-05-05","G10","NA",0.2007
1,"72H","2025-05-05","H10","NA",0.0545
1,"72H","2025-05-05","A11","NA",0.1814
1,"72H","2025-05-05","B11","NA",0.1606
1,"72H","2025-05-05","C11","NA",0.1261
1,"72H","2025-05-05","D11","NA",0.0833
1,"72H","2025-05-05","E11","NA",0.1001
1,"72H","2025-05-05","F11","NA",0.2262
1,"72H","2025-05-05","G11","NA",0.1575
1,"72H","2025-05-05","H11","NA",0.0696
1,"72H","2025-05-05","A12","NA",0.0417
1,"72H","2025-05-05","B12","NA",0.0345
1,"72H","2025-05-05","C12","NA",0.0356
1,"72H","2025-05-05","D12","NA",0.0418
1,"72H","2025-05-05","E12","NA",0.0414
1,"72H","2025-05-05","F12","NA",0.0305
1,"72H","2025-05-05","G12","NA",0.041
1,"72H","2025-05-05","H12","NA",0.0375
