Abs;1;2;3;4;5;6;7;8;9;10;11;12
A;;0,05180;0,12320;0,09020;0,44870;0,18300;0,23040;0,20440;0,14860;0,17800;0,18140;0,04170
B;;0,04830;0,10880;0,14790;0,14180;0,12430;0,15790;0,16960;0,15390;0,16680;0,16060;0,03450
C;;0,04630;0,06970;0,11890;0,11070;0,15010;0,13130;0,14800;0,10500;0,12710;0,12610;0,03560
D;;0,04080;0,08010;0,07670;0,09600;0,13230;0,15540;0,10490;0,09790;0,11000;0,08330;0,04180
E;;0,05700;0,08540;0,08790;0,07180;0,07380;0,09870;0,08600;0,09460;0,09390;0,10010;0,04140
F;;0,05280;0,19890;0,14440;0,15590;0,23510;0,17650;0,20250;0,16560;0,16980;0,22620;0,03050
G;;0,05490;0,17030;0,25510;0,20490;0,22170;0,17480;0,18030;0,17070;0,20070;0,15750;0,04100
H;;0,04780;0,07440;0,06860;0,06890;0,06960;0,07820;0,06810;0,06950;0,05450;0,06960;0,03750
