Abs;1;2;3;4;5;6;7;8;9;10;11
A;;0,05190;0,10580;0,10420;0,09550;0,11320;0,10110;0,14220;0,10430;0,13140;0,11010
B;;0,04970;0,09980;0,08920;0,11640;0,10710;0,14390;0,13970;0,10180;0,10700;0,10770
C;;0,05880;0,08420;0,11580;0,07810;0,09160;0,08540;0,07570;0,11750;0,09950;0,09330
D;;0,04960;0,09360;0,09130;0,06940;0,07120;0,08800;0,08330;0,08600;0,07620;0,08360
E;;0,05180;0,08620;0,08760;0,09540;0,10040;0,10110;0,08260;0,10690;0,10410;0,08910
F;;0,04790;0,14530;0,11270;0,14870;0,15870;0,09970;0,15550;0,14760;0,16390;0,10120
G;;0,05190;0,15770;0,14120;0,13640;0,18960;0,16230;0,12910;0,14490;0,15640;0,11440
H;;0,04620;0,05200;0,05490;0,05830;0,06980;0,05540;0,05720;0,07910;0,05970;0,06760
