Blank subtracted;1;2;3;4;5;6;7;8;9;10;11
A;;0,008138;0,03654;0,03254;0,03134;0,03614;0,03704;0,09324;0,05464;0,02574;0,03274
B;;0,001337;0,05364;0,04924;0,03134;0,02464;0,05604;0,05394;0,03934;0,06374;0,02394
C;;-0,001962;0,03194;0,05704;0,03134;0,04064;0,04384;0,04524;0,06224;0,06764;0,03454
D;;0,0002375;0,02004;0,02244;0,04384;0,05294;0,02914;0,03214;0,05764;0,05754;0,02024
E;;-0,002763;0,02984;0,03984;0,03534;0,06114;0,05694;0,03564;0,03824;0,04114;0,02234
F;;-0,001063;0,03494;0,03194;0,06884;0,06044;0,06514;0,07614;0,06104;0,06854;0,04774
G;;-0,002263;0,05424;0,04214;0,05074;0,06294;0,06934;0,05234;0,05274;0,06954;0,03784
H;;-0,001662;0,009438;0,03154;0,007638;0,01104;0,009938;0,01254;0,01644;0,009338;0,006537
